epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,8326.84,0.92469,0.52063,0.95515,0.93469,0.93993,0.96493,0.76924,0.70491,0.37497,0.87054,0.002575,0.002575,0.002575
152,8381.76,0.9256,0.52224,0.95516,0.93118,0.94207,0.96501,0.76928,0.70435,0.37428,0.87028,0.0025255,0.0025255,0.0025255
153,8436.71,0.91951,0.51581,0.95437,0.93434,0.93939,0.96495,0.76892,0.70416,0.37356,0.86989,0.002476,0.002476,0.002476
154,8491.74,0.92253,0.51823,0.95435,0.92555,0.94469,0.96507,0.76917,0.70303,0.37302,0.86955,0.0024265,0.0024265,0.0024265
155,8546.74,0.91512,0.51226,0.95102,0.92601,0.94308,0.96527,0.76945,0.70261,0.3732,0.8694,0.002377,0.002377,0.002377
156,8601.78,0.9142,0.50755,0.95118,0.94801,0.92164,0.96537,0.77057,0.70224,0.3731,0.86915,0.0023275,0.0023275,0.0023275
157,8656.75,0.90932,0.51075,0.95143,0.94955,0.92,0.96545,0.77087,0.70098,0.37217,0.86881,0.002278,0.002278,0.002278
158,8711.67,0.90745,0.5041,0.95025,0.95185,0.91979,0.96554,0.77108,0.70004,0.37175,0.86864,0.0022285,0.0022285,0.0022285
159,8766.55,0.90931,0.50913,0.95175,0.95409,0.91915,0.96556,0.77224,0.69947,0.3708,0.86834,0.002179,0.002179,0.002179
160,8821.45,0.90614,0.50601,0.95008,0.95403,0.91888,0.96548,0.77297,0.69826,0.37047,0.86797,0.0021295,0.0021295,0.0021295
161,8876.44,0.90207,0.50223,0.94959,0.95188,0.91958,0.96548,0.77301,0.69717,0.3702,0.86775,0.00208,0.00208,0.00208
162,8931.4,0.89959,0.49966,0.94602,0.95402,0.91886,0.96505,0.77391,0.69671,0.3694,0.86753,0.0020305,0.0020305,0.0020305
163,8986.39,0.90042,0.50123,0.94709,0.95408,0.91851,0.96497,0.77416,0.69595,0.36837,0.8673,0.001981,0.001981,0.001981
164,9041.33,0.89341,0.49866,0.94325,0.95473,0.91872,0.96486,0.77483,0.69508,0.36803,0.86697,0.0019315,0.0019315,0.0019315
165,9096.28,0.89476,0.4965,0.94448,0.9544,0.91909,0.96502,0.77555,0.69425,0.36824,0.86677,0.001882,0.001882,0.001882
166,9151.21,0.89096,0.49456,0.94376,0.94976,0.92391,0.96499,0.77591,0.69338,0.36793,0.86648,0.0018325,0.0018325,0.0018325
167,9206.07,0.88861,0.49051,0.9418,0.95141,0.92402,0.96493,0.77662,0.69227,0.36771,0.86609,0.001783,0.001783,0.001783
168,9260.99,0.889,0.49008,0.94323,0.94985,0.92465,0.96495,0.77635,0.69191,0.36697,0.86586,0.0017335,0.0017335,0.0017335
169,9315.9,0.87994,0.48386,0.93957,0.94673,0.92586,0.96498,0.77632,0.69115,0.36684,0.86558,0.001684,0.001684,0.001684
170,9370.84,0.87708,0.48529,0.9409,0.9474,0.92662,0.96499,0.77681,0.69032,0.36609,0.86544,0.0016345,0.0016345,0.0016345
171,9425.75,0.88114,0.48555,0.94176,0.94802,0.92688,0.96514,0.77663,0.68949,0.36492,0.86542,0.001585,0.001585,0.001585
172,9480.72,0.87897,0.4831,0.93946,0.94684,0.92812,0.96516,0.77759,0.68898,0.36477,0.86523,0.0015355,0.0015355,0.0015355
173,9535.8,0.87084,0.47807,0.93735,0.94781,0.92822,0.96567,0.77796,0.6881,0.36367,0.86505,0.001486,0.001486,0.001486
174,9590.81,0.8741,0.47913,0.93747,0.94691,0.92972,0.96576,0.77817,0.68744,0.36363,0.86489,0.0014365,0.0014365,0.0014365
175,9645.8,0.86501,0.47637,0.93516,0.95041,0.92735,0.96545,0.77794,0.68733,0.36331,0.86485,0.001387,0.001387,0.001387
